theta_rad;theta_deg;pressure_exp_kPa;pressure_sim_kPa;temperature_K;heat_loss_J;burned_fraction;dQ_dtheta_kJ_per_rad
-1.099557429;-63.000000;378.500000;382.906574;408.274888;-1.178314;0.000000000;0.000000000
-1.090830782;-62.500000;383.900000;388.795180;409.970117;-1.183362;0.000000000;0.000000000
-1.082104136;-62.000000;390.000000;394.826106;411.686489;-1.188164;0.000000000;0.000000000
-1.073377490;-61.500000;395.700000;401.003510;413.424300;-1.192713;0.000000000;0.000000000
-1.064650844;-61.000000;402.900000;407.331686;415.183852;-1.197002;0.000000000;0.000000000
-1.055924197;-60.500000;408.700000;413.815074;416.965450;-1.201025;0.000000000;0.000000000
-1.047197551;-60.000000;415.700000;420.458259;418.769403;-1.204774;0.000000000;0.000000000
-1.038470905;-59.500000;421.500000;427.265984;420.596023;-1.208240;0.000000000;0.000000000
-1.029744259;-59.000000;428.400000;434.243151;422.445629;-1.211416;0.000000000;0.000000000
-1.021017612;-58.500000;434.900000;441.394826;424.318542;-1.214294;0.000000000;0.000000000
-1.012290966;-58.000000;441.700000;448.726245;426.215087;-1.216865;0.000000000;0.000000000
-1.003564320;-57.500000;449.600000;456.242825;428.135595;-1.219121;0.000000000;0.000000000
-0.994837674;-57.000000;456.900000;463.950163;430.080399;-1.221052;0.000000000;0.000000000
-0.986111027;-56.500000;464.500000;471.854048;432.049837;-1.222648;0.000000000;0.000000000
-0.977384381;-56.000000;472.200000;479.960464;434.044250;-1.223900;0.000000000;0.000000000
-0.968657735;-55.500000;480.200000;488.275599;436.063984;-1.224799;0.000000000;0.000000000
-0.959931089;-55.000000;488.400000;496.805852;438.109387;-1.225332;0.000000000;0.000000000
-0.951204442;-54.500000;497.200000;505.557840;440.180813;-1.225490;0.000000000;0.000000000
-0.942477796;-54.000000;505.100000;514.538402;442.278618;-1.225261;0.000000000;0.000000000
-0.933751150;-53.500000;514.200000;523.754613;444.403160;-1.224634;0.000000000;0.000000000
-0.925024504;-53.000000;523.500000;533.213787;446.554803;-1.223596;0.000000000;0.000000000
-0.916297857;-52.500000;532.800000;542.923489;448.733912;-1.222136;0.000000000;0.000000000
-0.907571211;-52.000000;542.600000;552.891536;450.940855;-1.220239;0.000000000;0.000000000
-0.898844565;-51.500000;552.100000;563.126014;453.176004;-1.217894;0.000000000;0.000000000
-0.890117919;-51.000000;562.000000;573.635282;455.439732;-1.215085;0.000000000;0.000000000
-0.881391272;-50.500000;572.300000;584.427984;457.732415;-1.211799;0.000000000;0.000000000
-0.872664626;-50.000000;583.300000;595.513050;460.054430;-1.208020;0.000000000;0.000000000
-0.863937980;-49.500000;593.800000;606.899715;462.406154;-1.203734;0.000000000;0.000000000
-0.855211333;-49.000000;604.700000;618.597526;464.787970;-1.198924;0.000000000;0.000000000
-0.846484687;-48.500000;616.500000;630.616342;467.200256;-1.193574;0.000000000;0.000000000
-0.837758041;-48.000000;628.400000;642.966355;469.643394;-1.187666;0.000000000;0.000000000
-0.829031395;-47.500000;640.300000;655.658097;472.117765;-1.181183;0.000000000;0.000000000
-0.820304748;-47.000000;652.600000;668.702445;474.623750;-1.174106;0.000000000;0.000000000
-0.811578102;-46.500000;665.100000;682.110631;477.161726;-1.166417;0.000000000;0.000000000
-0.802851456;-46.000000;678.300000;695.894256;479.732072;-1.158095;0.000000000;0.000000000
-0.794124810;-45.500000;691.600000;710.065296;482.335162;-1.149120;0.000000000;0.000000000
-0.785398163;-45.000000;705.600000;724.636115;484.971369;-1.139471;0.000000000;0.000000000
-0.776671517;-44.500000;720.000000;739.619461;487.641059;-1.129125;0.000000000;0.000000000
-0.767944871;-44.000000;734.600000;755.028495;490.344597;-1.118060;0.000000000;0.000000000
-0.759218225;-43.500000;749.400000;770.876783;493.082339;-1.106252;0.000000000;0.000000000
-0.750491578;-43.000000;764.700000;787.178313;495.854639;-1.093676;0.000000000;0.000000000
-0.741764932;-42.500000;780.800000;803.947494;498.661838;-1.080308;0.000000000;0.000000000
-0.733038286;-42.000000;796.600000;821.199172;501.504273;-1.066120;0.000000000;0.000000000
-0.724311640;-41.500000;813.500000;838.948629;504.382269;-1.051086;0.000000000;0.000000000
-0.715584993;-41.000000;830.500000;857.211593;507.296140;-1.035176;0.000000000;0.000000000
-0.706858347;-40.500000;848.100000;876.004232;510.246188;-1.018362;0.000000000;0.000000000
-0.698131701;-40.000000;865.800000;895.343172;513.232702;-1.000613;0.000000000;0.000000000
-0.689405055;-39.500000;885.100000;915.245488;516.255953;-0.981898;0.000000000;0.000000000
-0.680678408;-39.000000;904.100000;935.728707;519.316197;-0.962183;0.000000000;0.000000000
-0.671951762;-38.500000;924.300000;956.810801;522.413672;-0.941436;0.000000000;0.000000000
-0.663225116;-38.000000;944.800000;978.510193;525.548592;-0.919621;0.000000000;0.000000000
-0.654498469;-37.500000;966.100000;1000.845744;528.721150;-0.896702;0.000000000;0.000000000
-0.645771823;-37.000000;987.200000;1023.836738;531.931513;-0.872641;0.000000000;0.000000000
-0.637045177;-36.500000;1009.100000;1047.502882;535.179822;-0.847399;0.000000000;0.000000000
-0.628318531;-36.000000;1031.600000;1071.864283;538.466185;-0.820937;0.000000000;0.000000000
-0.619591884;-35.500000;1055.300000;1096.941435;541.790679;-0.793212;0.000000000;0.000000000
