theta_deg;pressure_sim_bar
29.320000;30.864755
29.660000;30.368932
30.000000;29.880493
30.340000;29.399498
30.680000;28.925989
31.020000;28.459997
31.360000;28.001536
31.700000;27.550608
32.040000;27.107202
32.380000;26.671297
32.720000;26.242864
33.060000;25.821861
33.400000;25.408239
33.740000;25.001944
34.080000;24.602912
34.420000;24.211075
34.760000;23.826357
35.100000;23.448680
35.440000;23.077959
35.780000;22.714108
36.120000;22.357036
36.460000;22.006649
36.800000;21.662850
37.140000;21.325542
37.480000;20.994625
37.820000;20.669997
38.160000;20.351555
38.500000;20.039198
38.840000;19.732820
39.180000;19.432319
39.520000;19.137589
39.860000;18.848527
40.200000;18.565029
40.540000;18.286991
40.880000;18.014311
41.220000;17.746887
41.560000;17.484618
41.900000;17.227403
42.240000;16.975143
42.580000;16.727740
42.920000;16.485097
43.260000;16.247118
43.600000;16.013710
43.940000;15.784779
44.280000;15.560234
44.620000;15.339984
44.960000;15.123941
45.300000;14.912017
45.640000;14.704127
45.980000;14.500187
46.320000;14.300115
46.660000;14.103828
47.000000;13.911247
47.340000;13.722296
47.680000;13.536895
48.020000;13.354972
48.360000;13.176452
48.700000;13.001263
49.040000;12.829335
49.380000;12.660599
49.720000;12.494987
50.060000;12.332433
50.400000;12.172872
50.740000;12.016240
51.080000;11.862477
51.420000;11.711520
51.760000;11.563312
52.100000;11.417793
52.440000;11.274907
52.780000;11.134598
53.120000;10.996813
53.460000;10.861498
53.800000;10.728602
54.140000;10.598073
54.480000;10.469862
54.820000;10.343921
55.160000;10.220203
55.500000;10.098661
55.840000;9.979250
56.180000;9.861926
56.520000;9.746645
56.860000;9.633366
57.200000;9.522048
57.540000;9.412649
57.880000;9.305131
58.220000;9.199455
58.560000;9.095584
58.900000;8.993481
59.240000;8.893110
59.580000;8.794435
59.920000;8.697424
60.260000;8.602041
60.600000;8.508255
60.940000;8.416034
61.280000;8.325345
61.620000;8.236159
61.960000;8.148446
62.300000;8.062177
62.640000;7.977322
62.980000;7.893854
63.320000;7.811747
63.660000;7.730972
64.000000;7.651505
64.340000;7.573319
64.680000;7.496390
65.020000;7.420693
65.360000;7.346205
65.700000;7.272902
66.040000;7.200761
66.380000;7.129761
66.720000;7.059880
67.060000;6.991095
67.400000;6.923387
67.740000;6.856735
68.080000;6.791120
68.420000;6.726520
68.760000;6.662919
69.100000;6.600296
69.440000;6.538634
69.780000;6.477915
70.120000;6.418121
70.460000;6.359235
70.800000;6.301241
71.140000;6.244123
71.480000;6.187863
71.820000;6.132447
72.160000;6.077859
72.500000;6.024085
72.840000;5.971109
73.180000;5.918917
73.520000;5.867496
73.860000;5.816830
74.200000;5.766907
74.540000;5.717715
74.880000;5.669238
75.220000;5.621466
75.560000;5.574385
75.900000;5.527984
76.240000;5.482250
76.580000;5.437173
76.920000;5.392740
77.260000;5.348940
77.600000;5.305762
77.940000;5.263197
78.280000;5.221232
78.620000;5.179859
78.960000;5.139066
79.300000;5.098844
79.640000;5.059184
79.980000;5.020075
80.320000;4.981509
80.660000;4.943476
81.000000;4.905967
81.340000;4.868974
81.680000;4.832489
82.020000;4.796502
82.360000;4.761005
82.700000;4.725991
83.040000;4.691452
83.380000;4.657379
83.720000;4.623765
84.060000;4.590603
84.400000;4.557885
84.740000;4.525604
85.080000;4.493753
85.420000;4.462325
85.760000;4.431314
86.100000;4.400712
86.440000;4.370514
86.780000;4.340712
87.120000;4.311301
87.460000;4.282275
87.800000;4.253627
88.140000;4.225351
88.480000;4.197442
88.820000;4.169893
89.160000;4.142700
89.500000;4.115857
89.840000;4.089358
90.180000;4.063199
90.520000;4.037373
90.860000;4.011876
91.200000;3.986703
91.540000;3.961849
91.880000;3.937309
92.220000;3.913078
92.560000;3.889152
92.900000;3.865526
93.240000;3.842196
93.580000;3.819157
93.920000;3.796406
94.260000;3.773936
94.600000;3.751746
94.940000;3.729829
95.280000;3.708183
95.620000;3.686804
95.960000;3.665687
96.300000;3.644829
96.640000;3.624226
96.980000;3.603874
97.320000;3.583770
97.660000;3.563910
98.000000;3.544291
98.340000;3.524909
98.680000;3.505761
99.020000;3.486844
99.360000;3.468154
99.700000;3.449688
100.040000;3.431443
100.380000;3.413416
100.720000;3.395604
101.060000;3.378004
101.400000;3.360613
101.740000;3.343427
102.080000;3.326445
102.420000;3.309664
102.760000;3.293080
103.100000;3.276691
103.440000;3.260495
103.780000;3.244488
104.120000;3.228669
104.460000;3.213034
104.800000;3.197581
105.140000;3.182308
105.480000;3.167213
105.820000;3.152293
106.160000;3.137545
106.500000;3.122968
106.840000;3.108559
107.180000;3.094316
107.520000;3.080236
107.860000;3.066319
108.200000;3.052561
108.540000;3.038960
108.880000;3.025515
109.220000;3.012224
109.560000;2.999084
109.900000;2.986094
110.240000;2.973251
110.580000;2.960554
110.920000;2.948001
111.260000;2.935591
111.600000;2.923320
111.940000;2.911189
112.280000;2.899194
112.620000;2.887334
112.960000;2.875608
113.300000;2.864014
113.640000;2.852550
113.980000;2.841214
114.320000;2.830006
114.500000;2.824123
